parameter,mean_hat,bias,variance,mse,coverage,size_h0,power_h1,alpha,scenario,scenario_label,n,model
beta0,1.0028522784566112,0.002852278456611179,0.22327600086188862,0.22306086035342076,0.805,,,0.05,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
beta1,2.0003751689039064,0.000375168903906431,0.0035638884784864413,0.003560465341714413,0.949,0.04,1.0,0.05,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
beta0,1.005774055881988,0.005774055881988094,0.07952745380919748,0.07948126607671661,0.802,,,0.05,ar1_errors,C5_erros_correlacionados_ar1,100,original_scale
beta1,1.999178298668303,-0.0008217013316969002,0.0012461422421878225,0.001245571293024147,0.958,0.056,1.0,0.05,ar1_errors,C5_erros_correlacionados_ar1,100,original_scale
beta0,0.9799939710920407,-0.020006028907959328,0.14008635726672727,0.14034651210212667,0.935,,,0.05,classic_normal,C1_classico_normal,30,original_scale
beta1,2.003080983840817,0.0030809838408170087,0.0043914096642257055,0.004396510715988855,0.95,0.051,1.0,0.05,classic_normal,C1_classico_normal,30,original_scale
beta0,1.002656298164645,0.0026562981646449657,0.04467495533007253,0.04463733629468195,0.957,,,0.05,classic_normal,C1_classico_normal,100,original_scale
beta1,1.9999508840981952,-4.911590180478598e-05,0.0012101258483840258,0.001208918134907452,0.958,0.052,1.0,0.05,classic_normal,C1_classico_normal,100,original_scale
beta0,0.9969193477573292,-0.003080652242670845,0.015459382392845524,0.01545341342869295,0.953,,,0.05,exponential_lognormal,C6_relacao_exponencial_lognormal,30,log_transform
beta1,2.0001215875558533,0.00012158755585334191,0.0006546366037792803,0.0006539967507092394,0.961,0.047,1.0,0.05,exponential_lognormal,C6_relacao_exponencial_lognormal,30,log_transform
beta0,-67515915.40900017,-67515916.40900017,285578299855853.0,4843691690103095.0,1.0,,,0.05,exponential_lognormal,C6_relacao_exponencial_lognormal,30,original_scale
beta1,23726771.40060249,23726769.40060249,32735633656003.484,595662484211714.1,0.0,0.061,1.0,0.05,exponential_lognormal,C6_relacao_exponencial_lognormal,30,original_scale
beta0,1.0003814486045042,0.0003814486045041754,0.00854007453394462,0.008531679962448553,0.939,,,0.05,exponential_lognormal,C6_relacao_exponencial_lognormal,100,log_transform
beta1,2.0002202896321117,0.00022028963211173647,0.00022519174302263308,0.0002250150788016263,0.954,0.057,1.0,0.05,exponential_lognormal,C6_relacao_exponencial_lognormal,100,log_transform
beta0,-121015914.34895007,-121015915.34895007,238924261704507.28,1.4883537105187056e+16,0.003,,,0.05,exponential_lognormal,C6_relacao_exponencial_lognormal,100,original_scale
beta1,39936674.80607791,39936672.80607791,23907441682147.62,1618821369060188.2,0.0,0.046,1.0,0.05,exponential_lognormal,C6_relacao_exponencial_lognormal,100,original_scale
beta0,0.9914461409701932,-0.008553859029806765,0.11226398539708277,0.11222488991598747,0.96,,,0.05,heavy_tails,C2_caudas_pesadas,30,original_scale
beta1,2.0013747013888943,0.0013747013888942838,0.0038242237758406186,0.003822289355973406,0.958,0.055,1.0,0.05,heavy_tails,C2_caudas_pesadas,30,original_scale
beta0,1.0107667654271266,0.010766765427126623,0.045298972652510254,0.04536959691762051,0.948,,,0.05,heavy_tails,C2_caudas_pesadas,100,original_scale
beta1,1.9982873128946577,-0.0017126871053423365,0.0012892056576279832,0.0012908497490911614,0.946,0.04,1.0,0.05,heavy_tails,C2_caudas_pesadas,100,original_scale
beta0,2.004213789690096,1.004213789690096,0.10012491610879007,1.108470126596425,0.132,,,0.05,nonzero_mean_const,C4a_media_erro_nao_nula_constante,30,original_scale
beta1,1.9997637285340448,-0.00023627146595517345,0.005060534419147495,0.005055529708933973,0.948,0.048,1.0,0.05,nonzero_mean_const,C4a_media_erro_nao_nula_constante,30,original_scale
beta0,1.9895497173244454,0.9895497173244454,0.050479722109920126,1.0296378854447004,0.002,,,0.05,nonzero_mean_const,C4a_media_erro_nao_nula_constante,100,original_scale
beta1,2.001227985483612,0.0012279854836121373,0.0013338010451493976,0.00133397519245221,0.95,0.048,1.0,0.05,nonzero_mean_const,C4a_media_erro_nao_nula_constante,100,original_scale
beta0,1.0097587869293878,0.009758786929387808,0.11122033854622812,0.11120435213001509,0.95,,,0.05,nonzero_mean_x_dep,C4b_media_erro_dependente_X,30,original_scale
beta1,2.599021982589854,0.599021982589854,0.0035048617462237336,0.362328692510357,0.0,1.0,1.0,0.05,nonzero_mean_x_dep,C4b_media_erro_dependente_X,30,original_scale
beta0,1.0075307266554479,0.00753072665544785,0.04419976823078442,0.04421228030651271,0.951,,,0.05,nonzero_mean_x_dep,C4b_media_erro_dependente_X,100,original_scale
beta1,2.5988484348267313,0.5988484348267313,0.0013282947286753428,0.3599464143283727,0.0,1.0,1.0,0.05,nonzero_mean_x_dep,C4b_media_erro_dependente_X,100,original_scale
beta0,0.9933756001891674,-0.006624399810832626,0.12388818490096813,0.12380817938892091,0.936,,,0.05,skewed_errors,C3_erros_assimetricos,30,original_scale
beta1,2.0011898051641133,0.0011898051641132668,0.005456646744138735,0.0054526057337231475,0.947,0.05,1.0,0.05,skewed_errors,C3_erros_assimetricos,30,original_scale
beta0,0.9908338012149972,-0.0091661987850028,0.051061109292093225,0.05109406738296731,0.94,,,0.05,skewed_errors,C3_erros_assimetricos,100,original_scale
beta1,2.0022892055985713,0.0022892055985712645,0.0014473624813056858,0.0014511555810969108,0.943,0.048,1.0,0.05,skewed_errors,C3_erros_assimetricos,100,original_scale
